before,after
eror,error
tuerus,terus
erol,error
emg,emang
gk,tidak
mmg,memang
rp,ribu
ga;tidak
aps,aplikasi
bego,bodoh
ngk,tidak
maks,maksimal
bgt,begitu
dpt,dapat
time,waktu
full,penuh
pls,tolong
smt,sementara
ngiklan,iklan
gin,gini
ttg,tentang
cmiiw,opini
studpen,belajar
kk,kakak
doi,dia
tdx,tidak
sbnrnya,sebenarnya
fak,jelek
blm,belum
tpi,tapi
dri,dari
tbtb,tiba 
ak,aku
mw,mau
web,website
point,poin
like,seperti
other,lain
reply,balas
lg,lagi
org,orang
it,itu
samsek,sama
gpp,tidakkenapa
gua,saya
drpd,daripada
in,dalam
udh,udah
km,kamu
dll,lain
ngga,tidak
nang,ingin
pgn,ingin
kl,kalau
plis,tolong
day,hari
gasmua,semua
spill,bilang
unpopular,buruk
mnding,mending
fun,menyenangkan
abis,selesai
mjb,menjawab
sem,semester
tdk,tidak
nggak,tidak
kmren,kemarin
allah,tuhan
guys,teman
jd,jadi
yg,yang
get,dapat
well,baik
soon,akan datang
keinget,ingat
aja,saja
tungu,tunggu
burin,buruk
startnya,mulai
cm,cuma
at,atau
gt,gitu
tp,tapi
jg,juga
login,masuk
logout,keluar
repeat,ulang
klo,kalau
prefer,memilih
kek,seperti
general,umum
doang,saja
wkwk,lucu
mostly,sebagian besar
netap,tetap
spicles,tidak berkata kata
orangorang,orang orang
gmn,bagaimana
gmna,bagaimana
yah,ya
pas,cocok
enggak,tidak
zoom,aplikasi
pinjem,pinjam
hp,handphone
sertif,sertifikat
sygnya,sayang
iming,membujuk
kepalsuan,palsu
branding,merek
dibagusin,diperbaiki
trims,terima kasih
gen,generasi
zanak,anak
skrg,sekarang
ngejalani,menjalani
bls,balas
group,grup
ngepost,posting
not,tidak
even,terjadi
thank,terima kasih
you,kamu
for,untuk
kdg,kadangg
cuman,cuma
react,reaksi
dr,dari
belom,belum
ud,udah
ginian,gini
may,boleh
ask,bertanya
prepare,menyiapkan
kemaren,kamarin
partnernya,rekan
coach,pelatih
jdi,jadi
tsb,tersebut
wkwkwkwk,lucu
gaseh,ayo
pun,juga
oprek,penerimaan
same,sama
btr,bentar
exchange,perubahan
sm,sama
smpe,sampai
kelar,selesai
opinion,opini
th,tahu
diaturrr,daitur
utk,untuk
reward,hadian
ngasah,mengasah
nnti,nanti
first,pertama
kp,kerja praktek
really,sangat
take,ambil
long,lama
to,ke
that,itu
stafnya,sifat
julid,buruk
friendly,ramah
ngejek,menghina
they,mereka
said,kata
gtw,tidak tau
gaikutan,tidak ikut
jwb,jawab
jadwalnya,jadwal
problemnya,masalah
sdm,sumber daya
ngasi,memberikan
dispen,izin
hezz,hai
sbnernya,sebenarnya
cmn,cuma
manbis,mana bisa
your,kamu
shits,omong kosong
together,bersama
need,membutuhkan
offer,menawarkan
alternatives,pilihan
idk,tidak tahu
what,apa
but,tapi
alternative,alternatif
would,akan
be,menjadi
great,bagus
smtr,semster
academy,pendidikan
skrng,sekarang
dahal,padahal
freepass,gratis lewat
krn,karena
ketumnya,ketua umum
sndiri,sendoro
tolol,bodoh
corporate,pemerintah
diapus,dihapus
difikirfikir,dipikir
pake,menggunakan
tools,alat
lu,kamu
dikti,pemerintah
gawean,bekerja
fmipa,fakultas
slide,layar
egk,tidak
dzolim,kejam
wa,aplikasi
ijo,hijau
klau,kalau
ap,apa
mendingo,mending
kouta,pulsa
sj,saja
kemendikbud,kementrian pendidikan dan kebudayaan
explore,explor
ala,seperti
mnjd,menjadi
pa,apa
help,bantu
indo,indonesia
tuh,itu
bp,bapak
mbkmnya,mbkm
ai,hai
pt,perusahaan
hikmahnya,dampaknya
independen,tetap
give,memberi
me,saya
too,terlalu
much,banyak
credit,kredit
tbh,tabah
have,mempunyai
something,sesuatu
impactnation,dampak
capstone,sederhana
project,tugas
burnout,lelah fisik
syndromes,sindrom
flow,arah
fix,sepakat
guest,tamu
star,bintang
ln,ini
katae,kata
skip,lewat
yuk,ayo
machine,mesin
learning,belajar
bee,menjadi
mutualan,berteman
fast,cepat
track,lacak
piro,berapa
moleh,lagi
with,bersama
agens,agen
makerepost,buat posting
promo,promosi
slot,jumlah
run,lari
klwbc,kalau
tarikh,tarik
ko,kamu
oh,iya
ngejak,ngajak
repost,posting ulang
bag,tas
busy,sibuk
mmps,mampus
mna,mana
yaudah,ya
puyeeeenggg ,pusing
blum,belum
ken,kenapa
deh,sudah
trs,terus
tipsnya,saran
cont,contoh
week,minggu
ngdraft,rancang
mood,rasa
iring,ikut
mac,maka
seenganya,setidaknya
klaim,ambil
smg,semoga
prog,program
lbh,lebih
exch,tukar
server,pusat
down,turun
wkwkkw,lucu
mmbuat,buat
kepo,ingin tahu
enggaklaaah,tidak
slm,salam
agustusseptember,agustus
tera,teratur
anakanak,anak
ttp,tetapi
nongs,nongkrong
trusssss,terus
tremor,takut
imbas,dampak
studiproyek,belajar 
desakkn,desa
ngono,seperti
koloq,manja
ungkit,ingat
talks,ngomong
scroll,putar
mulu,terus
bsa,bisa
qna,tanya
upload,posting
cbt,cabut
acc,terima
nyediain,sedia
kegiatankunya,kegiatan
thanks,terima kasih
trus,terus
real,nyata
hardddd,susah
go,ayo
english,inggris
start,mulai
himasae,hima
company,usaha
kuota,jatah
because,karena
xixi,lucu
as,seperti
one,satu
kating,kakak
quoted,kata
my,saya
of,dari
thn,tahun
hell,neraka
out,keluar
mndpt,mendapat
management,mengatur
content,media
crast,tambrak
relation,relasi
dsb,sebagainya
sender,kirim
value,nilai
why,mengapa
modern,baru
ank,anak
boleeee,bole
speechless,berkata
got,dapat
overview,pengamat
taun,ttahun
kak,kakak
emang,memang
fund,dana
matching,cocok
wfh,kerja
kmmi,kami
dlu,dulu
kait,hubung
event,acara
lap,laporan
kompre,konversi
sminggu,minggu
helplusa,bantu
their,mereka
own,sendiri
merc,merek
asliii,asli
agt,agustus
bye,tinggal
kudu,harus
ajg,anjing
butuh,perlu
huhuhu,lucu
respon,jawab
xixixi,lucu
ngehaluin,halu
monyetttttt,monyet
grgr,karena
blg,bilang
blom,belum
rewatch,ulang
rots,awal
startwars,awal
gel,gelombang
kdalam,dalam
toloooong,tolong
nyambi,sambil
duit,uang
lgsg,langsung
komplen,lapor
lom,belum
maw,mau
fess,festival
nunut,numpang
sambat,ngeluh
bgtttt,begitu
mba,mbak
gacocok,tidak
lelet,lambat
cui,hai
intern,magang
masmba ,kakak
power,kuat
sad,sedih
pleaseeee,tolong
whole,siapa
fahutan,fakultas
timeline,batas
linjurlinfak,pindah
gaes,teman 
bootcamp,latihan
launching,terbaru
akeh,banyak
tenan,tentu
sadness,sedih
gws,semoga
collab,kolaborasi
muak,lelah
ty,terimakasi
wishlist,harapan
moms,ibu
braw,hai
linjur,pindah
ez,gampang
klian,kalian
crita,cerita
skalie,sekali
huhuu,sedih
au,tau
log,catatan
book,buku
sd,sampai
nothing,tidak
talk,bicara
prs,siap
beres,siap
kaga,tidak
cape,lelah
jjr,anjir
fell,merasa
narsum,narasumber
syulitttt,sulit
onboarding,mulai
traffic,jalur
jan,jangan
mutual,teman 
home,rumah
participation,partisipasi
university,universitas
can,bisa
someone,seseorang
explain,jelaskan
cacellation,batal
pioneer,pion
paja,pajak
include,termasuk
dlnya,batas
nangisin,nangis
overdue,terlambat
gue,saya
gw,saya
kbtln,kebetulan
tmn,teman 
urgent,penting
growth,tumbuh
muaq,lelah
bejibun,banyak
gangotak,gila
stric,ketat
musingin,pusing
anjingggggg,anjing
startup,kantor
sy,saya
sma,sama
klub,kelompok
cpt,cepat
amazed,takjub
support,dukung
iyh,iya
mewuujudkan,wujud
ummat,umat
gegara,karena
ama,sama
gasss,ayo
gas,ayo
join,gabung
nonaktif,tidak
sila,silahkan
saiki,ini
sya,saya
bestie,teman 
dadi,jadi
awak,kamu
ready,siap
praying,berdoa
fass,fastival
dkk,kawan
blundernya,blunder
concern,khawatir
bangeeeeeet,sangat
tricks,cara
war,perang
ghosting,pergi
mrah,murah
chat,tanya
dah,sudah
ku,saya
treak,teriak
tolah,liat
toleh,liat
helppp,bantu
especiallyy,spesial
pol,penuh
tll,tolong
regisnya,daftar
lompok,kelompok
ggal,gagal
durung,belum
telyu,beritau
iki,ini
slalu,selalu
moots,rasa
ngeproses,proses
agk,agak
aing,saya
bs,bisa
modol,bodoh
dinotice,diberitahu
experience,pengalaman
location,lokasi
joining,gabung
encok,lelah
mangats,semangat
sia,percuma
telek,jelek
pala,kepala
rekognisi,rekaman
konvert,konversi
gelem,sakit
asiiiik,seru
masi,masih
gede,besar
gaikut,tidak ikut
katane,katanya
udah,sudah
bener,benar
kakk,kakak
nanya,bertanya
alam,alam
lelah,lelah
dosen,dosen
sempet,sempat
dapet,dapat
bingung,bingung
gitu,seperti itu
kali,mungkin
temen,teman
gin,gini
opini,pendapat
alhamdulillah,syukur
sepert,seperti
tidak,tidak
suka,suka
tuju,tujuan
gimana,bagaimana
suruh,suruh
yaa,ya
pilih,pilih
pikir,pikir
tu,itu
budaya,budaya
tri,coba
nyesel,menyesal
gabisa,tidak bisa
terimakasi,terima kasih
prodi,program studi
capek,lelah
ubah,ubah
kaprodi,kepala program studi
gara,karena
kaya,seperti
enak,enak
gajelas,tidak jelas
karna,karena
makasih,terima kasih
selese,selesai
pkl,pukul
surat,surat
lingkung,lingkungan
mikirin,pikir
ngisi,mengisi
skripsi,laporan
ngurus,urus
ituu,itu
aamiin,semoga
jelek,jelek
studi,belajar
bang,kak
congrats,selamat
ngapain,mengapa
mumet,pusing
tagih,menagih
knp,kenapa
terimakasih,terima kasih
ngambil,ambil
kmrn,kemarin
kayak,seperti
hope,harapan
pptnya,presentasi
liat,lihat
kamarin,kemarin
sampe,sampai
kait,hubungan
kasih,kasih
temenku,teman
kaka,kakak
mesti,harus
rakyat,rakyat
baca,baca
fasilitas,fasilitas
kejar,mengejar
tips,cara
pandu,panduan
silah,silahkan
cek,lihat
worth,sesuai
student,siswa
krna,karena
batal,batal
jodoh,jodoh
agreement,setuju
komunikasi,komunikasi
plus,tambah
undang,mengajak
gausah,jangan
gampang,gampang
univ,kampus
bal,balas
infes,investasi
puyeng,pusing
maaf,maaf
tawar,tawar
praktisi,praktisi
punten,silahkan
sulit,sulit
hasil,hasil
anying,anjing
sesal,menyesal
laksana,laksanakan
super,super
debut,penampilan pertama
analisis,analisis
apaa,apa
nyelesain,menyesal
nerapin,menerapkan
kek,seperti
realistis,nyata
bsip,bantuan
asu,anjing
red,merah
tani,kamu
ngulang,mengulang
inget,ingat
praktek,praktik
sepakat,setuju
yaaa,ya
tanyatanya,bertanya
nambah,menambah
hidup,hidup
santai,santai
ntar,nanti
pantau,lihat
ngerti,paham
gais,teman
mampu,dapat
total,total
banding,dibandingkan
gapaham,tidak paham
gaa,tidak
sebenernya,sebenarnya
ajaa,aja
ato,atau
