_id,at,data_clean,label
663862c1dd520c9ba22efdc2,2024-05-05T12:11:55.000Z,verifikasi jelek,negatif
663862c1dd520c9ba22efdc3,2024-05-05T07:32:30.000Z,gagal tanda tangan coba ulang foto ktp foto ktp,negatif
663862c1dd520c9ba22efdc4,2024-05-05T06:58:43.000Z,selesai verifikasi kecewa aplikasi burik,negatif
663862c1dd520c9ba22efdc5,2024-05-04T16:24:09.000Z,cocok jual saham,
663862c1dd520c9ba22efdc6,2024-05-04T05:10:50.000Z,aplikasi ganguan sisa jual saham cocok barusan lihat saham ilang riwayat beli saham investasi td aktif beli saham konfirmasi saham ilang orang uang segitu uang segitu beli kumpul uang kecewa asli,negatif
663862c1dd520c9ba22efdc7,2024-05-03T23:03:50.000Z,tolong baik saham hilang kembali dana,
663862c1dd520c9ba22efdc8,2024-05-03T15:55:27.000Z,ruang email adu jam kerja konfirmasi deposit rdn masuk,
663862c1dd520c9ba22efdc9,2024-05-03T15:17:09.000Z,astaga main aplikasi investasi cocok topup masuk saldo udah komplain responya lambat beut customer care nol,negatif
663862c1dd520c9ba22efdca,2024-05-03T15:14:10.000Z,males mengunakan aplikasi buka login lelah,
663862c1dd520c9ba22efdcc,2024-05-01T21:17:51.000Z,ribet guna,negatif
663862c1dd520c9ba22efdcd,2024-05-01T14:43:10.000Z,lengkap data ambil foto ktp pencet tanda centang foto,
663862c1dd520c9ba22efdce,2024-05-01T09:54:12.000Z,isi ulang data muter anjir,
663862c1dd520c9ba22efdcf,2024-05-01T09:47:19.000Z,tolong tambah fitur ganti handphone,
663862c1dd520c9ba22efdd1,2024-04-30T19:19:13.000Z,daftar hasil rumit,
663862c1dd520c9ba22efdd2,2024-04-30T12:51:56.000Z,aplikasi buruk wd ado mas mohon baik rugi penguna,negatif
663862c1dd520c9ba22efdd3,2024-04-30T11:12:06.000Z,aktif aktif daftar badut,
663862c1dd520c9ba22efdd4,2024-04-30T10:20:28.000Z,verifikasi ulang data,
663862c1dd520c9ba22efdd5,2024-04-29T12:47:40.000Z,kirim kucing depo haya robot sistem malas deposit,
663862c1dd520c9ba22efdd6,2024-04-28T10:31:15.000Z,aplikasi investasi rekomendasi jual aset jual aset aplikasi aplikasi kerja sabtu mingu libur jam kerja jam pagi jam istirahat jam kerja jam jam sore rekomendasi susah transaksi jam kerja rekomendasi transaksi jam,negatif
663862c1dd520c9ba22efdd7,2024-04-28T01:43:20.000Z,akun verifikasi verifikasi,
663862c1dd520c9ba22efdd8,2024-04-27T02:57:54.000Z,ngechat adminya bales,
663862c1dd520c9ba22efdd9,2024-04-26T19:41:39.000Z,verifikasi ktp gagal coba kali hapus pasang gagal verifikasi,negatif
663862c1dd520c9ba22efdda,2024-04-26T17:00:46.000Z,eror tuerus,
663862c1dd520c9ba22efddb,2024-04-26T16:45:58.000Z,aplikasi sunguh kacau kemarin pagi jual eror opsi tolong baik sore jual eror,
663862c1dd520c9ba22efddc,2024-04-26T13:50:54.000Z,pindah ajaib cripto,
663862c1dd520c9ba22efddd,2024-04-26T12:53:38.000Z,sunguh ajaib narik saldo nungu kerja,
663862c1dd520c9ba22efdde,2024-04-25T23:34:28.000Z,verifikasi data mingu selesai,
663862c1dd520c9ba22efddf,2024-04-25T16:53:24.000Z,aplikasi tipu aplikasi nipu,
663862c1dd520c9ba22efde0,2024-04-24T22:00:15.000Z,fitur ubah nomor telepon,
663862c1dd520c9ba22efde1,2024-04-24T14:59:48.000Z,daftar eror ngeri naroh dana lenyap,
663862c1dd520c9ba22efde2,2024-04-24T14:53:31.000Z,scam aplikasi,negatif
663862c1dd520c9ba22efde3,2024-04-23T22:39:33.000Z,bot bot orang miskin usaha tipu dengn teknik pasar tipu lucu,
663862c1dd520c9ba22efde4,2024-04-23T12:27:21.000Z,main aplikasi jual reksa dana uang masuk rekening portofolio investasi riwayat hilang untung screnshot aplikasi tipu jngan main aplikasi,
663862c1dd520c9ba22efde5,2024-04-22T17:41:08.000Z,harga sahan turun jual buruk aset kurang sahan beli jual,negatif
663862c1dd520c9ba22efde6,2024-04-21T10:33:25.000Z,tarik saldo masuk mingu padahalhaduh parah,negatif
663862c1dd520c9ba22efde7,2024-04-21T01:43:43.000Z,tolong baik ajaib bursa jual saham,
663862c1dd520c9ba22efde8,2024-04-21T01:27:48.000Z,maf naro crypto tur ern tungu tarik proses tolong,
663862c1dd520c9ba22efde9,2024-04-20T23:36:38.000Z,aplikasi direset pin ae salah kocak,
663862c1dd520c9ba22efdea,2024-04-20T22:47:58.000Z,buruk sistem ganti rekening bca bank rekening wd didaftarin,negatif
